,name,price,original_price,exchange upto,rating,rating_count
0,"Infinix HOT 12 Play (Champagne Gold, 64 GB)","₹8,199","₹11,999","₹11,999",4.3,"4.359,417 Ratings & 4,961 Reviews"
1,"Infinix HOT 12 Play (Horizon Blue, 64 GB)","₹8,199","₹11,999","₹11,999",4.3,"4.359,417 Ratings & 4,961 Reviews"
2,"Infinix HOT 12 Play (Daylight Green, 64 GB)","₹8,199","₹11,999","₹11,999",4.3,"4.359,417 Ratings & 4,961 Reviews"
3,"Infinix HOT 12 Play (Racing Black, 64 GB)","₹8,199","₹11,999","₹11,999",4.3,"4.359,417 Ratings & 4,961 Reviews"
4,"REDMI 9i Sport (Coral Green, 64 GB)","₹7,999","₹9,999","₹9,999",4.4,"4.41,42,099 Ratings & 8,167 Reviews"
5,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹7,999","₹9,999","₹9,999",4.4,"4.41,42,099 Ratings & 8,167 Reviews"
6,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹13,499","₹23,999","₹23,999",4.1,"4.143,190 Ratings & 4,399 Reviews"
7,"REDMI 9i Sport (Carbon Black, 64 GB)","₹7,999","₹9,999","₹9,999",4.4,"4.41,42,099 Ratings & 8,167 Reviews"
8,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹13,499","₹23,999","₹23,999",4.1,"4.143,190 Ratings & 4,399 Reviews"
9,"OPPO K10 (Blue Flame, 128 GB)","₹13,490","₹18,999","₹18,999",4.4,"4.453,971 Ratings & 4,299 Reviews"
10,"OPPO K10 (Black Carbon, 128 GB)","₹13,490","₹18,999","₹18,999",4.4,"4.453,971 Ratings & 4,299 Reviews"
11,"Infinix Smart 6 HD (Aqua Sky, 32 GB)","₹6,199","₹8,999","₹8,999",4.6,4.6537 Ratings & 19 Reviews
12,"realme C33 (Night Sea, 64 GB)","₹9,999","₹12,999","₹12,999",4.7,4.7870 Ratings & 25 Reviews
13,"realme C33 (Sandy Gold, 32 GB)","₹8,999","₹11,999","₹11,999",4.5,4.5190 Ratings & 5 Reviews
14,"realme C33 (Aqua Blue, 64 GB)","₹9,999","₹12,999","₹12,999",4.7,4.7870 Ratings & 25 Reviews
15,"realme C33 (Sandy Gold, 64 GB)","₹9,999","₹12,999","₹12,999",4.7,4.7870 Ratings & 25 Reviews
16,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹13,499","₹23,999","₹23,999",4.1,"4.143,190 Ratings & 4,399 Reviews"
17,"realme C31 (Dark Green, 64 GB)","₹9,499","₹11,999","₹11,999",4.4,"4.431,147 Ratings & 1,616 Reviews"
18,"realme C31 (Light Silver, 32 GB)","₹8,299","₹10,999","₹10,999",4.6,"4.633,724 Ratings & 1,233 Reviews"
19,"realme C31 (Dark Green, 32 GB)","₹8,299","₹10,999","₹10,999",4.6,"4.633,724 Ratings & 1,233 Reviews"
20,"Infinix Smart 6 HD (Origin Blue, 32 GB)","₹6,199","₹8,999","₹8,999",4.6,4.6537 Ratings & 19 Reviews
21,"realme C33 (Aqua Blue, 32 GB)","₹8,999","₹11,999","₹11,999",4.5,4.5190 Ratings & 5 Reviews
22,"realme C33 (Night Sea, 32 GB)","₹8,999","₹11,999","₹11,999",4.5,4.5190 Ratings & 5 Reviews
23,"Infinix Smart 6 (Starry Purple, 64 GB)","₹6,499","₹8,999","₹8,999",4.3,"4.311,952 Ratings & 869 Reviews"
